Rank,name,pop2019,pop2018,GrowthRate,area,Density
82,Cuba,11333.483,,0.9994,109884,103.1404
83,Haiti,11263.077,,1.0124,27750,405.8766
84,South Sudan,11062.113,,1.0119,619745,17.8495
85,Dominican Republic,10738.958,,1.0101,48671,220.6439
86,Czech Republic,10689.209,,1.0018,78865,135.5381
87,Greece,10473.455,,0.9952,131990,79.3504
88,Portugal,10226.187,,0.9971,92090,111.0456
89,Jordan,10101.694,,1.01,89342,113.0677
90,Azerbaijan,10047.718,,1.0091,86600,116.0245
91,Sweden,10036.379,,1.0063,450295,22.2885
92,United Arab Emirates,9770.529,,1.0123,83600,116.8724
93,Honduras,9746.117,,1.0163,112492,86.6383
94,Hungary,9684.679,,0.9975,93028,104.105
95,Belarus,9452.411,,0.9997,207600,45.5318
96,Tajikistan,9321.018,,1.0232,143100,65.1364
97,Austria,8955.102,,1.0057,83871,106.7723
98,Papua New Guinea,8776.109,,1.0195,462840,18.9614
99,Serbia,8772.235,,0.996,88361,99.2772
100,Switzerland,8591.365,,1.0074,41284,208.104
101,Israel,8519.377,,1.016,20770,410.177
102,Togo,8082.366,,1.0243,56785,142.3328
103,Sierra Leone,7813.215,,1.021,71740,108.9102
104,Hong Kong,7436.154,,1.0082,1104,6735.6467
105,Laos,7169.455,,1.0148,236800,30.2764
106,Paraguay,7044.636,,1.0125,406752,17.3192
107,Bulgaria,7000.119,,0.9926,110879,63.133
108,Lebanon,6855.713,,0.9956,10452,655.9236
109,Libya,6777.452,,1.0138,1759540,3.8518
110,Nicaragua,6545.502,,1.0121,130373,50.206
111,El Salvador,6453.553,,1.0051,21041,306.7132
112,Kyrgyzstan,6415.85,,1.0169,199951,32.0871
113,Turkmenistan,5942.089,,1.015,488100,12.1739
114,Singapore,5804.337,,1.0079,710,8175.1225
115,Denmark,5771.876,,1.0035,43094,133.9369
116,Finland,5532.156,,1.0015,338424,16.3468
117,Slovakia,5457.013,,1.0005,49037,111.2836
118,Republic of the Congo,5380.508,,1.0256,342000,15.7325
119,Norway,5378.857,,1.0079,323802,16.6116
120,Costa Rica,5047.561,,1.0092,51100,98.7781
121,Palestine,4981.42,,1.0241,6220,800.8714
122,Oman,4974.986,,1.0265,309500,16.0743
123,Liberia,4937.374,,1.0244,111369,44.3335
124,Ireland,4882.495,,1.0113,70273,69.479
125,New Zealand,4783.063,,1.0082,270467,17.6845
126,Central African Republic,4745.185,,1.0178,622984,7.6169
127,Mauritania,4525.696,,1.0274,1030700,4.3909
128,Panama,4246.439,,1.0161,75417,56.3061
129,Kuwait,4207.083,,1.0151,17818,236.1142
130,Croatia,4130.304,,0.9939,56594,72.9813
131,Moldova,4043.263,,0.9977,33846,119.4606
132,Georgia,3996.765,,0.9981,69700,57.3424
133,Eritrea,3497.117,,1.0141,117600,29.7374
134,Uruguay,3461.734,,1.0035,181034,19.122
135,Bosnia and Herzegovina,3301,,0.9939,51209,64.4613
136,Mongolia,3225.167,,1.0165,1564110,2.062
137,Armenia,2957.731,,1.0019,29743,99.4429
138,Jamaica,2948.279,,1.0044,10991,268.2448
139,Puerto Rico,2933.408,,0.9753,8870,330.7112
140,Albania,2880.917,,0.9989,28748,100.2128
141,Qatar,2832.067,,1.0173,11586,244.4387
142,Lithuania,2759.627,,0.9865,65300,42.2608
143,Namibia,2494.53,,1.0186,825615,3.0214
144,Gambia,2347.706,,1.0294,10689,219.6376
145,Botswana,2303.697,,1.0208,582000,3.9582
146,Gabon,2172.579,,1.0245,267668,8.1167
147,Lesotho,2125.268,,1.008,30355,70.0138
148,Macedonia,2083.459,,1,25713,81.0275
149,Slovenia,2078.654,,1.0001,20273,102.5331
150,Guinea-Bissau,1920.922,,1.0245,36125,53.1743
151,Latvia,1906.743,,0.9892,64559,29.5349
152,Bahrain,1641.172,,1.0368,765,2145.3229
153,Trinidad and Tobago,1394.973,,1.0032,5130,271.9246
154,Equatorial Guinea,1355.986,,1.0347,28051,48.34
155,Estonia,1325.648,,1.0007,45227,29.311
156,Timor-Leste,1293.119,,1.0196,14874,86.9382
157,Mauritius,1269.668,,1.0017,2040,622.3863
158,Cyprus,1198.575,,1.0073,9251,129.5617
159,Swaziland,1148.13,,1.0105,17364,66.1213
160,Djibouti,973.56,,1.0148,23200,41.9638
161,Fiji,889.953,,1.0073,18272,48.7058
162,Reunion,888.927,,1.0072,2511,354.0131
163,Comoros,850.886,,1.022,1862,456.9742
164,Guyana,782.766,,1.0048,214969,3.6413
165,Bhutan,763.092,,1.0112,38394,19.8753
166,Solomon Islands,669.823,,1.0255,28896,23.1805
167,Macau,640.445,,1.0139,30,21348.1667
168,Montenegro,627.987,,1.0001,13812,45.4668
169,Luxembourg,615.729,,1.0166,2586,238.1009
170,Western Sahara,582.463,,1.0255,266000,2.1897
171,Suriname,581.372,,1.009,163820,3.5488
172,Cape Verde,549.935,,1.011,4033,136.3588
173,Maldives,530.953,,1.0181,300,1769.8433
174,Malta,440.372,,1.0027,316,1393.5823
175,Brunei,433.285,,1.0097,5765,75.1578
176,Guadeloupe,400.056,,1.0002,1628,245.7346
177,Belize,390.353,,1.0186,22966,16.997
178,Bahamas,389.482,,1.0097,13943,27.9339
179,Martinique,375.554,,0.9992,1128,332.9379
180,Iceland,339.031,,1.0065,103000,3.2916
181,Vanuatu,299.882,,1.0242,12189,24.6027
182,French Guiana,290.832,,1.027,83534,3.4816
183,Barbados,287.025,,1.0012,430,667.5
184,New Caledonia,282.75,,1.0097,18575,15.2221
185,French Polynesia,279.287,,1.0058,4167,67.0235
186,Mayotte,266.15,,1.025,374,711.631
187,Sao Tome and Principe,215.056,,1.0191,964,223.0871
188,Samoa,197.097,,1.0067,2842,69.3515
189,Saint Lucia,182.79,,1.0046,616,296.737
190,Guam,167.294,,1.0089,549,304.725
191,Curacao,163.424,,1.0041,444,368.0721
192,Kiribati,117.606,,1.0157,811,145.0136
193,Micronesia,113.815,,1.0106,702,162.1296
194,Grenada,112.003,,1.0046,344,325.5901
195,Saint Vincent and the Grenadines,110.589,,1.0032,389,284.2905
196,Aruba,106.314,,1.0043,180,590.6333
197,United States Virgin Islands,104.578,,0.9985,347,301.3775
198,Tonga,104.494,,1.0115,747,139.8849
199,Seychelles,97.739,,1.0062,452,216.2367
200,Antigua and Barbuda,97.118,,1.0084,442,219.724
201,Isle of Man,84.584,,1.0053,572,147.8741
202,Andorra,77.142,,1.0016,468,164.8333
203,Dominica,71.808,,1.0025,751,95.6165
204,Cayman Islands,64.948,,1.0119,264,246.0152
205,Bermuda,62.506,,0.9964,54,1157.5185
206,Marshall Islands,58.791,,1.0068,181,324.8122
207,Northern Mariana Islands,57.216,,1.006,464,123.3103
208,Greenland,56.672,,1.0017,2166086,0.0262
209,American Samoa,55.312,,0.9978,199,277.9497
210,Saint Kitts and Nevis,52.823,,1.0071,261,202.387
211,Faroe Islands,48.678,,1.0038,1393,34.9447
212,Sint Maarten,42.388,,1.0115,34,1246.7059
213,Monaco,38.964,,1.0071,2.02,19289.1089
214,Turks and Caicos Islands,38.191,,1.0138,948,40.2859
215,Liechtenstein,38.019,,1.0029,160,237.6188
216,Saint Martin,38.002,,1.0175,53,717.0189
217,San Marino,33.86,,1.0021,61,555.082
218,Gibraltar,33.701,,0.9997,6,5616.8333
219,British Virgin Islands,30.03,,1.0067,151,198.8742
220,Palau,18.008,,1.0048,459,39.2331
221,Cook Islands,17.548,,1.0009,236,74.3559
222,Anguilla,14.869,,1.009,91,163.3956
223,Tuvalu,11.646,,1.0125,26,447.9231
224,Wallis and Futuna,11.432,,0.9831,142,80.507
225,Nauru,10.756,,1.0063,21,512.1905
226,Saint Barthélemy,9.847,,1.003,21,468.9048
227,Saint Pierre and Miquelon,5.822,,0.9952,242,24.0579
228,Montserrat,4.989,,1.0006,102,48.9118
229,Falkland Islands,3.377,,1.0305,12173,0.2774
230,Niue,1.615,,1.0068,260,6.2115
231,Tokelau,1.34,,1.0127,12,111.6667
232,Vatican City,0.799,,1.0025,0.44,1815.9091
