week,week_starting,provider_name,provider_address,city,county,vaccine_type,allocated_doses
Week 17,2021-04-05,Tarrant Co Ph Imm Outreach,1101 S Main St Ste 1350,Fort Worth,TARRANT,Moderna,10000
Week 17,2021-04-05,Austin Public Health,15 Waller Street,Austin,TRAVIS,Moderna,12000
Week 17,2021-04-05,LHD Victoria City-CO Health Dept (RE),2805 N NAVARRO ST # 102,Victoria,VICTORIA,Moderna,2000
Week 17,2021-04-05,City Of Laredo Health Department,2600 Cedar Ave,Laredo,WEBB,Moderna,5000
Week 17,2021-04-05,Eagle Pharmacy - Holiday,700 S. College Ave,Holliday,ARCHER,Moderna,100
Week 17,2021-04-05,Metroplex Health System,2201 S. Clear Creek Dr,Killeen,BELL,Moderna,400
Week 17,2021-04-05,Ascension Medical Group Texas-Temple Pedi,1905 S.W H K Dodgen Loop,Temple,BELL,Moderna,200
Week 17,2021-04-05,Baylor Scott & White Pharmacy #227,937 Canyon Creek Drive,Temple,BELL,Moderna,500
Week 17,2021-04-05,DSHSHSR 7 HQ - Temple (RE),2408 South 37th Street,Temple,BELL,Moderna,1000
Week 17,2021-04-05,Davila Pharmacy,1423 Guadalupe,San Antonio,BEXAR,Moderna,500
Week 17,2021-04-05,North East ISD,10333 Broadway St,San Antonio,BEXAR,Moderna,500
Week 17,2021-04-05,Wellmed at Southwest Military,517 SW Military,San Antonio,BEXAR,Moderna,500
Week 17,2021-04-05,Wellmed General Mc Mullen,448 Castroville Rd.,San Antonio,BEXAR,Moderna,9500
Week 17,2021-04-05,Wellmed Ingram,6157 NW Loop 410,San Antonio,BEXAR,Moderna,9000
Week 17,2021-04-05,Stephen F Austin Community Health Center Inc,905 N. Gulf Blvd,Freeport,BRAZORIA,Moderna,2000
Week 17,2021-04-05,Prestige Medical P.A,3945 County Road 58,Manvel,BRAZORIA,Moderna,100
Week 17,2021-04-05,Phillips 66 Health Services Old Ocean,8189 Old FM 524,Old Ocean,BRAZORIA,Moderna,400
Week 17,2021-04-05,"Cullen Care Pharmacy, Inc. d/b/a Pets & People Pharmacy",9215 Broadway St.,Pearland,BRAZORIA,Moderna,500
Week 17,2021-04-05,Interventional Associates PLLC,8619 Broadway St,Pearland,BRAZORIA,Moderna,100
Week 17,2021-04-05,Texas Department of Criminal Justice DARRINGTON,59 Darrington Rd,Rosharon,BRAZORIA,Moderna,200
Week 17,2021-04-05,Texas Department of Criminal Justice Terrell,1300 N MAIN AVE,Rosharon,BRAZORIA,Moderna,100
Week 17,2021-04-05,Sweeny Community Hospital,305 N Mckinney St,Sweeny,BRAZORIA,Moderna,500
Week 17,2021-04-05,Lhd Brazos County Health District (Re),201 N Texas Ave,Bryan,BRAZOS,Moderna,300
Week 17,2021-04-05,Marfa Community Health Clinic,406 S Summer st,Marfa,BREWSTER,Moderna,100
Week 17,2021-04-05,Lockhart Family Medicine,1009 W San Antonio St,Lockhart,CALDWELL,Moderna,200
Week 17,2021-04-05,City of Harlingen,502 E. Tyler,Harlingen,CAMERON,Moderna,500
Week 17,2021-04-05,Su Clinica Women's Health Center- Harlingen,1706 Treasure Hills Blvd,Harlingen,CAMERON,Moderna,100
Week 17,2021-04-05,Clay County Memorial Hospital,310 W South St,Henrietta,CLAY,Moderna,1000
Week 17,2021-04-05,"Allen Pharmacy & Wellness, LLC","945 W. Stacy Rd,",Allen,COLLIN,Moderna,100
Week 17,2021-04-05,Wellpath Healthcare Collin County Detention Facility,4300 Community Ave,McKinney,COLLIN,Moderna,100
Week 17,2021-04-05,International Travel Solutions,4700 Dexter Drive,Plano,COLLIN,Moderna,1000
Week 17,2021-04-05,Wylie Isd - Wylie,951 S Ballard Ave,Wylie,COLLIN,Moderna,1000
Week 17,2021-04-05,Eagle Lake Drugstore,702 S McCarty Avenue,Eagle Lake,COLORADO,Moderna,100
Week 17,2021-04-05,The Pharmacy Shop,406 Youens Drive,Weimar,COLORADO,Moderna,200
Week 17,2021-04-05,Lone Star Pharmacy,1395 Sattler Rd Ste 8,Canyon Lake,COMAL,Moderna,200
Week 17,2021-04-05,Walgreens 15904,20744 STATE HIGHWAY 46 W,Spring Branch,COMAL,Moderna,200
Week 17,2021-04-05,Cooper Clinic,12200 Preston Rd,Dallas,DALLAS,Moderna,200
Week 17,2021-04-05,Dallas Medical Center,7 Medical Parkway,Dallas,DALLAS,Moderna,2000
Week 17,2021-04-05,Tom Thumb Pharmacy 3296,2380 N Field St,Dallas,DALLAS,Moderna,100
Week 17,2021-04-05,Wellmed at Redbird Square,3107 Camp Wisdom Rd,Dallas,DALLAS,Moderna,6000
Week 17,2021-04-05,Garland Independent Pharmacy,3641 Broadway Blvd,Garland,DALLAS,Moderna,1500
Week 17,2021-04-05,Tom Thumb Pharmacy 3621,4010 N Macarthur Blvd Ste 10,Irving,DALLAS,Moderna,300
Week 17,2021-04-05,Mesquite ISD,3819 Towne Crossing BLVD,Mesquite,DALLAS,Moderna,800
Week 17,2021-04-05,Hereford Health Clinic,540 W 15th St,Hereford,DEAF SMITH,Moderna,200
Week 17,2021-04-05,Trinity Apothecary,"2501 E. Hebron Pkwy, Suite 100B",Carrollton,DENTON,Moderna,300
Week 17,2021-04-05,Community Pharmacy - Denton - 4400 Teasley Lane,4400 Teasley Lane,Denton,DENTON,Moderna,300
Week 17,2021-04-05,"Driven MD, PLLC",8501 Wade Blvd,Frisco,DENTON,Moderna,1000
Week 17,2021-04-05,AJIJO INC dba Luxe Med Compounding,560 WEST MAIN ST,Lewisville,DENTON,Moderna,300
Week 17,2021-04-05,"SREEVANI KUNCHAM, MD., PA.",131 Degan Ave,Lewisville,DENTON,Moderna,100
Week 17,2021-04-05,Griffin Family Medicine,509 E Byron Nelson Blvd,Roanoke,DENTON,Moderna,200
Week 17,2021-04-05,Cuero Regional Hospital,2550 N Esplanade St,Cuero,DEWITT,Moderna,200
Week 17,2021-04-05,Lhd Ector County Health Department (Re),221 N Texas Ave,Odessa,ECTOR,Moderna,100
Week 17,2021-04-05,Dept Public Health-Alameda,9341 Alameda,El Paso,EL PASO,Moderna,500
Week 17,2021-04-05,Savon 1006,5200 MONTANA AVE,El Paso,EL PASO,Moderna,200
Week 17,2021-04-05,Savon 1936,3100 MESA ST,El Paso,EL PASO,Moderna,200
Week 17,2021-04-05,Savon 2016,11320 MONTWOOD DR,El Paso,EL PASO,Moderna,100
Week 17,2021-04-05,SISD Employee Health Clinic,11950 Bob Mitchell,El Paso,EL PASO,Moderna,500
Week 17,2021-04-05,Wellmed Remcon,7430 Remcon Circle,El Paso,EL PASO,Moderna,2500
Week 17,2021-04-05,Centro San Vicente - San Elizario,13017 Perico Street,San Elizario,EL PASO,Moderna,100
Week 17,2021-04-05,Erath County EMS,830 B East Rd,Stephenville,ERATH,Moderna,1000
Week 17,2021-04-05,Tarleton State University Student Health Services,600 N. Rome,Stephenville,ERATH,Moderna,400
Week 17,2021-04-05,Ibn Sina Foundation Community Clinic,16345 S Post Oak Rd,Houston,FORT BEND,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 146,1712 Spring Green Blvd,Katy,FORT BEND,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 336,22150 Westheimer Pkwy,Katy,FORT BEND,Moderna,200
Week 17,2021-04-05,Kroger Pharmacy 733,1550 W Grand Pkwy S,Katy,FORT BEND,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 334,6200 Highway 6,Missouri City,FORT BEND,Moderna,100
Week 17,2021-04-05,Kroger Texas LP,10250 Hwy 6 south,Missouri City,FORT BEND,Moderna,100
Week 17,2021-04-05,Kelsey Seybold Clinic-Katy,22121 Fm 1093 Rd,Richmond,FORT BEND,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 038,25050 Fm 1093 Rd,Richmond,FORT BEND,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 392,6425 Fm 1464 Rd,Richmond,FORT BEND,Moderna,200
Week 17,2021-04-05,Kroger Pharmacy 397,8011 W Grand Pkwy S,Richmond,FORT BEND,Moderna,200
Week 17,2021-04-05,OakBend Medical Center Nursey,1705 Jackson Street,Richmond,FORT BEND,Moderna,500
Week 17,2021-04-05,Kroger Pharmacy 010,24401 Brazos Town Xing,Rosenberg,FORT BEND,Moderna,200
Week 17,2021-04-05,Ft Bend Family Hlth Ctr Accesshealth - Stafford,10435 Greenbough Dr Ste 300,Stafford,FORT BEND,Moderna,200
Week 17,2021-04-05,Kroger Pharmacy 131,18861 University Blvd,Sugar Land,FORT BEND,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 320,4825 Sweetwater Blvd,Sugar Land,FORT BEND,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 375,11565 State Hwy 6 South,Sugar Land,FORT BEND,Moderna,100
Week 17,2021-04-05,Texas Oncology Pa Sugar Land,1350 First Colony Blvd,Sugar Land,FORT BEND,Moderna,100
Week 17,2021-04-05,Gator Hope Clinic,3800 Baker Dr,Dickinson,GALVESTON,Moderna,200
Week 17,2021-04-05,Ball Teen Health Center,4115 Avenue O Ste 1016,Galveston,GALVESTON,Moderna,200
Week 17,2021-04-05,Central Teen Health Center,3014 Sealy St Rm 157,Galveston,GALVESTON,Moderna,100
Week 17,2021-04-05,Collegiate Academy Teen Health Center,7100 Stewart Rd Rm 177b,Galveston,GALVESTON,Moderna,100
Week 17,2021-04-05,Memorial Hospital - Gonzales,Po Box 587,Gonzales,GONZALES,Moderna,500
Week 17,2021-04-05,Brookshires Pharmacy 127,11205 N State Hwy 289,Pottsboro,GRAYSON,Moderna,100
Week 17,2021-04-05,Grayson County Health Department-Sherman,515 North Walnut St.,Sherman,Grayson,Moderna,500
Week 17,2021-04-05,Lhd Plainview-Hale Co Health Dist (Re),111 E 10th St,Plainview,HALE,Moderna,1000
Week 17,2021-04-05,Kroger Pharmacy 115,9703 Barker Cypress Rd,Cypress,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 179,20355 Cypresswood Dr,Cypress,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 352,18030 Fm 529 Rd,Cypress,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 362,17455 Spring Cypress Rd,Cypress,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 744,3135 Fm 528,Friendswood,HARRIS,Moderna,100
Week 17,2021-04-05,Kelsey Seybold Clinic Esperson,815 Walker,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kelsey-Seybold Downtown @ The Shops Clinic,1200 Mckinney St Ste 473,Houston,HARRIS,Moderna,200
Week 17,2021-04-05,Kroger Pharmacy 017,1440 Studemont St,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 156,6322 Telephone Rd,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 161,14344 Memorial Dr,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 300,1950 El Dorado Blvd,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 309,1801 S Voss Rd,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 311,9330 Jones Rd,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 312,1035 N Shepherd Dr,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 313,10306 S Post Oak Rd,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 314,5150 Buffalo Speedway,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 346,1505 Wirt Rd,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 347,9303 Hwy 6 South,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 349,1520 Eldridge Pkwy,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 355,1938 W Gray St,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 356,1352 W 43rd St,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 363,9919 Westheimer @ Elmside,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 366,12434 State Highway 249,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 374,8550 Highway 6 N,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 385,16400 El Camino Real,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 396,6350 N Eldridge Pkwy,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 607,2300 Gessner Rd,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 735,12555 Briar Forest Dr,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 737,12400 Fm 1960 Rd W,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 739,9125 W. Sam Houston Pkwy,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 740,7747 Kirby Dr,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 746,11701 S. Sam Houston Pkwy.,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Meyerland Kelsey-Seybold Clinic,560 Meyerland Plaza Mall,Houston,HARRIS,Moderna,200
Week 17,2021-04-05,St Johns Physician,9180 Bellaire Blvd,Houston,HARRIS,Moderna,400
Week 17,2021-04-05,Texas Oncology Houston Mem Cit,925 Gessner Rd,Houston,HARRIS,Moderna,100
Week 17,2021-04-05,Wellmed East Alief,9380 W Sam Houston Pkwy,Houston,HARRIS,Moderna,4800
Week 17,2021-04-05,Kroger Pharmacy 122,2700 W Grand Pkwy N,Katy,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 378,6055 Fry Rd,Katy,HARRIS,Moderna,100
Week 17,2021-04-05,Texas Oncology Pa Katy,1331 W Grand Pkwy N Ste 340,Katy,HARRIS,Moderna,100
Week 17,2021-04-05,Chevron Phillips Chemical PPC,1400 Jefferson Rd,Pasadena,HARRIS,Moderna,100
Week 17,2021-04-05,Kelsey Seybold Clinic Pasadena,5001 E Sam Houston Pkwy S,Pasadena,HARRIS,Moderna,200
Week 17,2021-04-05,Kroger Pharmacy 130,2150 Spring Stuebner Rd,Spring,HARRIS,Moderna,100
Week 17,2021-04-05,Kroger Pharmacy 358,5671 Treaschwig Rd,Spring,HARRIS,Moderna,100
Week 17,2021-04-05,Kelsey-Seybold - Webster,1010 S Ponds Dr,Webster,HARRIS,Moderna,200
Week 17,2021-04-05,The Drug Store,100 S Avenue E,Haskell,HASKELL,Moderna,200
Week 17,2021-04-05,Ascension Medical Group Seton San Marcos,2108 Hunter Rd,San Marcos,HAYS,Moderna,100
Week 17,2021-04-05,Genoa Healthcare-20125 - San Marcos,1200 N Bishop St Ste 200,San Marcos,HAYS,Moderna,100
Week 17,2021-04-05,Live Oak Health Partners Comm Cl,401 Broadway St Ste A,San Marcos,HAYS,Moderna,500
Week 17,2021-04-05,San Marcos High,2601 Rattler Rd,San Marcos,HAYS,Moderna,300
Week 17,2021-04-05,Hemphill County Hospital,1020 S.4th,Canadian,HEMPHILL,Moderna,100
Week 17,2021-04-05,Christus Trinity Mother Frances,1505 Hwy 19 S,Athens,HENDERSON,Moderna,200
Week 17,2021-04-05,Lakeland,117 Medical Circle,Athens,HENDERSON,Moderna,200
Week 17,2021-04-05,Trinity Clinic Chandler,803 Hwy 31 East,Chandler,HENDERSON,Moderna,200
Week 17,2021-04-05,Tri-county family medicine,126 W Main St.,Mabank,HENDERSON,Moderna,100
Week 17,2021-04-05,Edinburg CISD Health Services Department,411 N 8th Ave,Edinburg,HIDALGO,Moderna,1000
Week 17,2021-04-05,Edinburg CISD School Based Health Center,1601 E Sprague St,Edinburg,HIDALGO,Moderna,500
Week 17,2021-04-05,Evins Regional Juvenile Center/Utmb,3801 E. Monte Cristo,Edinburg,HIDALGO,Moderna,100
Week 17,2021-04-05,South Texas Vocational Technical Institute,1800 S. Main St.,McAllen,HIDALGO,Moderna,1000
Week 17,2021-04-05,Wellmed Crossroads,1301 E Fern,McAllen,HIDALGO,Moderna,4800
Week 17,2021-04-05,Pharr-San Juan-Alamo ISD,601 E Kelly Ave,Pharr,HIDALGO,Moderna,8000
Week 17,2021-04-05,Brookshires Pharmacy 53,120 S Waco St,Hillsboro,HILL,Moderna,100
Week 17,2021-04-05,Burleson Pharmacy,344 Sw Wilshire Blvd,Burleson,JOHNSON,Moderna,300
Week 17,2021-04-05,Burleson Public Health Authority,828 SW Alsbury Blvd,Burleson,JOHNSON,Moderna,2000
Week 17,2021-04-05,Brookshires Pharmacy 133,1001 Joshua Station St,Joshua,JOHNSON,Moderna,100
Week 17,2021-04-05,Forney Isd Hq,600 S Bois D Arc St,Forney,KAUFMAN,Moderna,200
Week 17,2021-04-05,Terrell Fire Department,201 East Nash Street,Terrell,KAUFMAN,Moderna,2000
Week 17,2021-04-05,City of Boerne,124 Old San Antonio Rd,Boerne,KENDALL,Moderna,1500
Week 17,2021-04-05,Presbyterian Pan American,223 N Fm 772,Kingsville,KLEBERG,Moderna,100
Week 17,2021-04-05,Brookshires Pharmacy 74 - Hallettsville,1514 N Texana St,Hallettsville,LAVACA,Moderna,100
Week 17,2021-04-05,Davam Urgent Care,2454 E Austin St,Giddings,LEE,Moderna,100
Week 17,2021-04-05,Pieratt's Pharmacy,233 S. Manse,Giddings,LEE,Moderna,100
Week 17,2021-04-05,Family Medicine Center - Groesbeck,701 Mcclintic Dr,Groesbeck,LIMESTONE,Moderna,200
Week 17,2021-04-05,Limestone Medical Center,701 Mcclintic Dr,Groesbeck,LIMESTONE,Moderna,200
Week 17,2021-04-05,Live Oak County Health Department,301 Houston St Annex Bldg Rm 10,George West,LIVE OAK,Moderna,100
Week 17,2021-04-05,Walgreens Pharmacy 09440,3018 7th St,Bay City,MATAGORDA,Moderna,200
Week 17,2021-04-05,Palacios Prescription Shoppe,321 Main Street,Palacios,MATAGORDA,Moderna,300
Week 17,2021-04-05,Mclennan Cnty St Juve Corr Fac,116 W Burleson Rd,Mart,MCLENNAN,Moderna,100
Week 17,2021-04-05,LHD Medina CO Health Dept (RE),1206 15th St,Hondo,MEDINA,Moderna,1000
Week 17,2021-04-05,Midland Community Healthcare Services - Midland 1,801 E Florida Ave,Midland,MIDLAND,Moderna,100
Week 17,2021-04-05,LHD MILAM CO HEALTH DEPT (RE),209 S. Houston Ave,Cameron,MILAM,Moderna,500
Week 17,2021-04-05,Family Practice Clinic Of Mills County,1501 W Front St,Goldthwaite,MILLS,Moderna,100
Week 17,2021-04-05,Faith Community Rural Health Clinic Bowie,1010 N Mill St,Bowie,MONTAGUE,Moderna,200
Week 17,2021-04-05,Nocona General Hospital,100 Park Rd,Nocona,MONTAGUE,Moderna,200
Week 17,2021-04-05,Joe Corley Detention Center,500 Hilbig Rd,Conroe,MONTGOMERY,Moderna,500
Week 17,2021-04-05,Sam Houston State University Dba Shsu Physicians,690 S Loop 336 W Ste 200,Conroe,MONTGOMERY,Moderna,100
Week 17,2021-04-05,Kelsey-Seybold Clinic The Woodlands,106 Vision Park Blvd,Shenandoah,MONTGOMERY,Moderna,200
Week 17,2021-04-05,The Well Health Center,200 Palo Duro Drive,Cactus,MOORE,Moderna,100
Week 17,2021-04-05,Health by Design- Valero McKee Clinic,6701 FM119,Sunray,MOORE,Moderna,100
Week 17,2021-04-05,Wellmed Morgan,2922 Morgan Avenue,Corpus Christi,NUECES,Moderna,5300
Week 17,2021-04-05,Kroger Pharmacy 950,1600 N 16th St,Orange,ORANGE,Moderna,200
Week 17,2021-04-05,Brookshires Pharmacy 270,1380 N Main St,Vidor,ORANGE,Moderna,100
Week 17,2021-04-05,Reagan Memorial Hospital,1300 W FAIRMONT PKWY,Big Lake,REAGAN,Moderna,100
Week 17,2021-04-05,Rolling Hills Health,121 Oak Hill Dr,Leakey,REAL,Moderna,100
Week 17,2021-04-05,Rockwall Fire Department,305 E. Boydstun Ave.,Rockwall,ROCKWALL,Moderna,1000
Week 17,2021-04-05,Trinity Clinic Family Practice Henderson,105 Zeid Blvd # 2,Henderson,RUSK,Moderna,200
Week 17,2021-04-05,Eagle Pharmacy - Lindale,1404 S Main St,Lindale,SMITH,Moderna,300
Week 17,2021-04-05,Woody Weaver Pharmacy Inc,2726 west gentry,Tyler,SMITH,Moderna,200
Week 17,2021-04-05,Family Health Center Llp,2768 Pharmacy Rd,Rio Grande City,STARR,Moderna,500
Week 17,2021-04-05,Jps Se Tarrant County Med Home,1050 W Arkansas Ln Ste 150,Arlington,TARRANT,Moderna,1200
Week 17,2021-04-05,"Maxhealth Family, Internal And Sports Medicine",5207 Heritage Ave,Colleyville,TARRANT,Moderna,1100
Week 17,2021-04-05,Jps Northeast Chc,3200 W Euless Blvd,Euless,TARRANT,Moderna,800
Week 17,2021-04-05,Jps Diamond Hill Jarvis,3308 Deen Rd,Fort Worth,TARRANT,Moderna,800
Week 17,2021-04-05,Jps Hospital,1500 South Main St,Fort Worth,TARRANT,Moderna,300
Week 17,2021-04-05,Jps Stop Six Clinic,3301 Stalcup Rd,Fort Worth,TARRANT,Moderna,1000
Week 17,2021-04-05,Jps Viola Pitts Community Health Center,4701 Bryant Irvin Road North,Fort Worth,TARRANT,Moderna,600
Week 17,2021-04-05,Kindred Hospital Fort Worth Southwest,7800 Oakmont Blvd,Fort Worth,TARRANT,Moderna,200
Week 17,2021-04-05,Metropolitan Area EMS Authority,2900 Alta Mere Drive,Fort Worth,TARRANT,Moderna,1000
Week 17,2021-04-05,Tom Thumb Pharmacy 3312,2400 W 7th Street,Fort Worth,TARRANT,Moderna,500
Week 17,2021-04-05,Thurman's Pro-Med Pharmacy,402 N Madison Ave,Mount Pleasant,TITUS,Moderna,300
Week 17,2021-04-05,San Angelo Health Department,2030 Pulliam St Ste 8,San Angelo,TOM GREEN,Moderna,200
Week 17,2021-04-05,Austin Ear Nose And Throat Clinic,3705 Medical Pkwy,Austin,TRAVIS,Moderna,300
Week 17,2021-04-05,Austin Radiological Association,12554 Riata Vista Circle,Austin,TRAVIS,Moderna,300
Week 17,2021-04-05,Austin Regional Clinic - Quarry Lake,4515 Seton Center Pkwy Ste 220,Austin,TRAVIS,Moderna,500
Week 17,2021-04-05,Austin State Hospital,4110 Guadalupe St,Austin,TRAVIS,Moderna,100
Week 17,2021-04-05,Lone Star Circle Of Care At El Buen Samaritano,7000 Woodhue Dr,Austin,TRAVIS,Moderna,100
Week 17,2021-04-05,Tarrytown Pharmacy,2727 Exposition Blvd,Austin,TRAVIS,Moderna,300
Week 17,2021-04-05,Texas Neuro Rehab Center,1106 W Dittmar Rd,Austin,TRAVIS,Moderna,100
Week 17,2021-04-05,Wellmed Ben White,706 W Ben White Blvd Ste A,Austin,TRAVIS,Moderna,1500
Week 17,2021-04-05,Wills Point Isd - Hq,447 Terrace Dr.,Wills Point,VAN ZANDT,Moderna,200
Week 17,2021-04-05,Huntsville Family Medicine - Huntsville 2,123 Medical Park Ln Ste A,Huntsville,WALKER,Moderna,1000
Week 17,2021-04-05,Ft Bend Family Hlth Ctr Accesshealth - Brookshire,533 Fm 359 S,Brookshire,WALLER,Moderna,200
Week 17,2021-04-05,Adonis Zuniga Goldwater MD,2412 Jacaman Rd,Laredo,WEBB,Moderna,100
Week 17,2021-04-05,"D.A.N. Health Care, LLC",213 West Village Blvd.,Laredo,WEBB,Moderna,300
Week 17,2021-04-05,Dr Andres Garcia Zuniga MD PA,6416 Polaris Dr.,Laredo,WEBB,Moderna,300
Week 17,2021-04-05,Employee Health and Wellness,1102 Bob Bullock Loop,Laredo,WEBB,Moderna,500
Week 17,2021-04-05,Genoa Healthcare Llc 20206,1500 Pappas St,Laredo,WEBB,Moderna,100
Week 17,2021-04-05,La Familia Health Clinic Pllc,1105 Corpus Christi St,Laredo,WEBB,Moderna,100
Week 17,2021-04-05,Laredo Medical Center,1700 East Saunders,Laredo,WEBB,Moderna,500
Week 17,2021-04-05,Oscar Benavides MD PA,209 W Village Blvd.,Laredo,WEBB,Moderna,100
Week 17,2021-04-05,"Tesoro Medical Care., P.A.",101 West Village Blvd.,Laredo,WEBB,Moderna,300
Week 17,2021-04-05,TPC FAMILY MEDICINE & HOME VISITS,2605 N. ARKANSAS,Laredo,WEBB,Moderna,100
Week 17,2021-04-05,United Independent School District,201 Lindenwood Dr,Laredo,WEBB,Moderna,4800
Week 17,2021-04-05,Urgent Care on Del Mar,2344 Laguna Del Mar Court,Laredo,WEBB,Moderna,100
Week 17,2021-04-05,"VARA HOSPICE, LLC",3619 DAVIS AVE,Laredo,WEBB,Moderna,1000
